"GDF","ET","GDF_prev","DF_prev"
"0.0000396854118","0.01204819","0.0000466784359","0.0000683345723"
"0.0000461539591","0.01204819","0.0000396854118","0.0000842083256"
"0.0000428322727","0.00000000","0.0000461539591","0.0001035665614"
"0.0000409091910","0.00000000","0.0000428322727","0.0001173109088"
"0.0000491259944","0.00000000","0.0000409091910","0.0000962104318"
"0.0000447553543","0.00000000","0.0000491259944","0.0000915644552"
"0.0000487763432","0.00000000","0.0000447553543","0.0000993077495"
"0.0144176926307","0.00000000","0.0000487763432","0.0000923387846"
"0.1518685535244","0.02409639","0.0144176926307","0.0072810196370"
"0.3076032004274","0.06024096","0.1518685535244","0.0292406151273"
"0.4280405581412","0.16867470","0.3076032004274","0.0369761661401"
"0.5022715090561","0.24096386","0.4280405581412","0.0421641733259"
"0.5180932261023","0.30120482","0.5022715090561","0.0466475407297"
"0.4734952148484","0.31325301","0.5180932261023","0.0484594715976"
"0.3183374924344","0.28915663","0.4734952148484","0.0481361890603"
"0.2281449639912","0.24096386","0.3183374924344","0.0635647029672"
"0.1076394242923","0.15662651","0.2281449639912","0.2488230192653"
"0.0050201171821","0.04819277","0.1076394242923","0.1454655268537"
"0.0000437064007","0.02409639","0.0050201171821","0.0056156306139"
"0.0000452798311","0.00000000","0.0000437064007","0.0000696896488"
"0.0000414336678","0.00000000","0.0000452798311","0.0000671730781"
"0.0000480770407","0.00000000","0.0000414336678","0.0000654308369"
"0.0000512239016","0.00000000","0.0000480770407","0.0000894350492"
"0.0000491259944","0.00000000","0.0000512239016","0.0000693024840"
"0.0000548952393","0.00000000","0.0000491259944","0.0001167301617"
"0.0000519232040","0.00000000","0.0000548952393","0.0001146007557"
"0.0000524476808","0.00000000","0.0000519232040","0.0001250542031"
"0.0000601400073","0.00000000","0.0000524476808","0.0001202146441"
"0.0000555945417","0.00000000","0.0000601400073","0.0001157622499"
"0.0000393357606","0.00000000","0.0000555945417","0.0001266028619"
"0.0000596155305","0.00000000","0.0000393357606","0.0001138264263"
"0.0109454813351","0.00000000","0.0000596155305","0.0001113098557"
"0.1348597706358","0.01204819","0.0109454813351","0.0079875952425"
"0.2920786869059","0.06024096","0.1348597706358","0.0363779966549"
"0.4222363481309","0.15662651","0.2920786869059","0.0481768413554"
"0.4941246359694","0.22891566","0.4222363481309","0.0479851948213"
"0.5076736201802","0.27710843","0.4941246359694","0.0501726754630"
"0.4667294640232","0.28915663","0.5076736201802","0.0510650901319"
"0.3702781790025","0.26506024","0.4667294640232","0.0490711918479"
"0.2365890406025","0.21686747","0.3702781790025","0.0749086291272"
"0.0907495228135","0.14457831","0.2365890406025","0.2615607384005"
"0.0037786805772","0.03614458","0.0907495228135","0.1250154865886"
"0.0000402098886","0.01204819","0.0037786805772","0.0042253221210"
